nb_sow, date, nb_S, nb_IN, nb_IP, nb_CP, nb_S_o, nb_IN_o, nb_IP_o, nb_CP_o, seed
1.0,122.0,11.0,2.0,3.0,6.0,0.0,0.0,0.0,0.0,4
97.0,147.0,1.0,950.0,498.0,589.0,0.0,0.0,0.0,0.0,5
100.0,154.0,0.0,484.0,417.0,199.0,0.0,68.0,331.0,602.0,1
98.0,122.0,1078.0,0.0,173.0,808.0,0.0,0.0,0.0,0.0,6
98.0,122.0,1078.0,0.0,327.0,654.0,0.0,0.0,0.0,0.0,4
97.0,147.0,3.0,939.0,523.0,573.0,0.0,0.0,0.0,0.0,0
100.0,154.0,0.0,553.0,409.0,138.0,0.0,57.0,425.0,519.0,9
100.0,154.0,0.0,546.0,280.0,274.0,0.0,60.0,179.0,762.0,7
100.0,154.0,0.0,531.0,432.0,137.0,0.0,61.0,377.0,563.0,5
97.0,154.0,0.0,522.0,278.0,267.0,0.0,62.0,179.0,730.0,8
100.0,154.0,0.0,535.0,289.0,276.0,0.0,57.0,193.0,751.0,2
97.0,147.0,2.0,950.0,432.0,654.0,0.0,0.0,0.0,0.0,3
98.0,122.0,1078.0,1.0,167.0,813.0,0.0,0.0,0.0,0.0,8
100.0,147.0,3.0,955.0,288.0,855.0,0.0,0.0,0.0,0.0,6
98.0,122.0,1078.0,0.0,394.0,587.0,0.0,0.0,0.0,0.0,0
100.0,147.0,1.0,969.0,435.0,696.0,0.0,0.0,0.0,0.0,4
98.0,147.0,2.0,987.0,476.0,594.0,0.0,0.0,0.0,0.0,5
100.0,147.0,1.0,966.0,309.0,825.0,0.0,0.0,0.0,0.0,2
98.0,147.0,1.0,950.0,305.0,803.0,0.0,0.0,0.0,0.0,6
100.0,147.0,1.0,970.0,442.0,688.0,0.0,0.0,0.0,0.0,1
1.0,122.0,12.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,6
1.0,122.0,11.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,7
1.0,122.0,11.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,1
1.0,122.0,11.0,0.0,4.0,7.0,0.0,0.0,0.0,0.0,9
6.0,147.0,65.0,1.0,33.0,28.0,0.0,0.0,0.0,0.0,5
6.0,147.0,65.0,1.0,17.0,44.0,0.0,0.0,0.0,0.0,3
6.0,147.0,65.0,1.0,33.0,28.0,0.0,0.0,0.0,0.0,5
6.0,147.0,66.0,0.0,12.0,49.0,0.0,0.0,0.0,0.0,6
6.0,154.0,34.0,22.0,5.0,5.0,5.0,1.0,6.0,49.0,8
6.0,147.0,66.0,0.0,7.0,54.0,0.0,0.0,0.0,0.0,7
100.0,147.0,1.0,970.0,442.0,688.0,0.0,0.0,0.0,0.0,1
100.0,154.0,0.0,546.0,280.0,274.0,0.0,60.0,179.0,762.0,7
100.0,147.0,1.0,961.0,298.0,841.0,0.0,0.0,0.0,0.0,7
100.0,147.0,1.0,941.0,565.0,594.0,0.0,0.0,0.0,0.0,0
1.0,122.0,11.0,0.0,4.0,7.0,0.0,0.0,0.0,0.0,3
1.0,122.0,11.0,0.0,4.0,7.0,0.0,0.0,0.0,0.0,3
1.0,122.0,11.0,0.0,7.0,4.0,0.0,0.0,0.0,0.0,0
6.0,122.0,66.0,0.0,7.0,54.0,0.0,0.0,0.0,0.0,7
6.0,122.0,66.0,0.0,26.0,35.0,0.0,0.0,0.0,0.0,5
5.0,154.0,50.0,0.0,0.0,5.0,4.0,0.0,9.0,38.0,7
5.0,154.0,38.0,9.0,4.0,4.0,4.0,0.0,13.0,34.0,1
5.0,154.0,50.0,0.0,1.0,4.0,3.0,1.0,16.0,31.0,3
5.0,154.0,50.0,0.0,1.0,4.0,4.0,1.0,13.0,33.0,4
5.0,154.0,38.0,9.0,4.0,4.0,4.0,0.0,13.0,34.0,1
96.0,122.0,1056.0,0.0,310.0,651.0,0.0,0.0,0.0,0.0,4
96.0,122.0,1056.0,0.0,192.0,769.0,0.0,0.0,0.0,0.0,8
96.0,122.0,1056.0,0.0,363.0,598.0,0.0,0.0,0.0,0.0,9
100.0,147.0,13.0,1029.0,374.0,685.0,0.0,0.0,0.0,0.0,4
100.0,147.0,19.0,1019.0,221.0,842.0,0.0,0.0,0.0,0.0,6
100.0,154.0,0.0,565.0,419.0,116.0,0.0,61.0,377.0,563.0,5
100.0,154.0,0.0,570.0,295.0,235.0,0.0,73.0,187.0,741.0,8
100.0,154.0,0.0,593.0,386.0,121.0,0.0,57.0,425.0,519.0,9
100.0,154.0,0.0,570.0,295.0,235.0,0.0,73.0,187.0,741.0,8
100.0,154.0,0.0,560.0,367.0,173.0,0.0,63.0,309.0,629.0,4
96.0,122.0,1056.0,0.0,185.0,776.0,0.0,0.0,0.0,0.0,7
96.0,147.0,13.0,993.0,327.0,684.0,0.0,0.0,0.0,0.0,3
96.0,147.0,17.0,993.0,440.0,567.0,0.0,0.0,0.0,0.0,5
96.0,147.0,14.0,984.0,344.0,675.0,0.0,0.0,0.0,0.0,1
96.0,147.0,21.0,980.0,422.0,594.0,0.0,0.0,0.0,0.0,0
96.0,147.0,14.0,984.0,344.0,675.0,0.0,0.0,0.0,0.0,1
100.0,147.0,13.0,1028.0,400.0,660.0,0.0,0.0,0.0,0.0,3
96.0,154.0,0.0,579.0,316.0,161.0,0.0,61.0,298.0,602.0,1
96.0,154.0,0.0,579.0,316.0,161.0,0.0,61.0,298.0,602.0,1
96.0,154.0,0.0,569.0,255.0,232.0,0.0,68.0,186.0,707.0,6
97.0,122.0,1067.0,0.0,193.0,778.0,0.0,0.0,0.0,0.0,2
96.0,154.0,0.0,565.0,377.0,114.0,0.0,60.0,376.0,525.0,0
97.0,122.0,1067.0,1.0,308.0,662.0,0.0,0.0,0.0,0.0,4
96.0,154.0,0.0,533.0,368.0,155.0,0.0,64.0,292.0,605.0,3
97.0,122.0,1067.0,0.0,195.0,776.0,0.0,0.0,0.0,0.0,8
97.0,122.0,1067.0,1.0,337.0,633.0,0.0,0.0,0.0,0.0,3
97.0,122.0,1067.0,0.0,277.0,694.0,0.0,0.0,0.0,0.0,1
100.0,147.0,11.0,1022.0,474.0,594.0,0.0,0.0,0.0,0.0,0
97.0,147.0,7.0,1007.0,233.0,791.0,0.0,0.0,0.0,0.0,8
100.0,147.0,13.0,1029.0,374.0,685.0,0.0,0.0,0.0,0.0,4
